Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm1927701,2016-02-04,2016-02-04,,Tyler James Williams,Dear White People,1992-10-09
2,nm0026364,2016-02-04,2016-02-04,,Anthony Anderson,The Departed,1970-08-15
3,nm0000401,2016-02-04,2016-02-04,,Laurence Fishburne,The Matrix,1961-07-30
4,nm0001674,2016-02-04,2016-02-04,,Chris Rock,Top Five,1965-02-07
5,nm0005024,2016-02-04,2016-02-04,,Terrence Howard,Hustle & Flow,1969-03-11
6,nm0000332,2016-02-04,2016-02-04,,Don Cheadle,Crash,1964-11-29
7,nm0000418,2016-02-04,2016-02-04,,Danny Glover,Lethal Weapon,1946-07-22
8,nm1347153,2016-02-04,2016-02-04,,Tyler Perry,Diary of a Mad Black Woman,1969-09-14
9,nm0001084,2016-02-04,2016-02-04,,Ice Cube,Friday,1969-06-15
10,nm0001454,2016-02-04,2016-02-04,,Martin Lawrence,Martin,1965-04-16
11,nm0000552,2016-02-04,2016-02-04,,Eddie Murphy,The Nutty Professor,1961-04-03
12,nm0425005,2016-02-04,2016-02-04,,Dwayne Johnson,Jumanji: Welcome to the Jungle,1972-05-02
13,nm0000168,2016-02-04,2016-02-04,,Samuel L. Jackson,Pulp Fiction,1948-12-21
14,nm0949810,2016-02-04,2016-02-04,,Lee Thompson Young,Friday Night Lights,1984-02-01
15,nm0000421,2016-02-04,2016-02-04,,Cuba Gooding Jr.,Jerry Maguire,1968-01-02
16,nm0915458,2016-02-04,2016-02-04,,Damon Wayans Jr.,Big Hero 6,1982-11-18
17,nm0005541,2016-02-04,2016-02-04,,Marlon Wayans,White Chicks,1972-07-23
18,nm0252961,2016-02-04,2016-02-04,,Idris Elba,Beasts of No Nation,1972-09-06
19,nm0134244,2016-02-04,2016-02-04,,Nick Cannon,Drumline,1980-10-08
20,nm0005112,2016-02-04,2016-02-04,,LL Cool J,Deep Blue Sea,1968-01-14
21,nm0915465,2016-02-04,2016-02-04,,Shawn Wayans,White Chicks,1971-01-19
22,nm0088298,2016-02-04,2016-02-04,,Corbin Bleu,High School Musical 3: Senior Year,1989-02-21
23,nm0000226,2016-02-04,2016-02-04,,Will Smith,The Fresh Prince of Bel-Air,1968-09-25
24,nm0366389,2016-02-04,2016-02-04,,Kevin Hart,Ride Along,1979-07-06
25,nm0004937,2016-02-04,2016-02-04,,Jamie Foxx,Ray,1967-12-13
26,nm1939267,2016-02-04,2016-02-04,,T.I.,Ant-Man,1980-09-25
27,nm2093097,2016-02-04,2016-02-04,,Chris Brown,Takers,1989-05-05
28,nm0000243,2016-02-04,2016-02-04,,Denzel Washington,Fences,1954-12-28
29,nm0430107,2016-02-04,2016-02-04,,Michael B. Jordan,Black Panther,1987-02-09
30,nm0187719,2016-02-04,2016-02-04,,Terry Crews,Idiocracy,1968-07-30
31,nm0001834,2016-02-04,2016-02-04,,Damon Wayans,My Wife and Kids,1960-09-04
32,nm0005540,2016-02-04,2016-02-04,,Keenen Ivory Wayans,In Living Color,1958-06-08
33,nm0000676,2016-02-04,2016-02-04,,Chris Tucker,Rush Hour 2,1971-08-31
34,nm0341176,2016-02-04,2016-02-04,,Eddie Griffin,A Star Is Born,1968-07-15
35,nm0001850,2016-02-04,2016-02-04,,Billy Dee Williams,Star Wars: Episode V - The Empire Strikes Back,1937-04-06
36,nm0371660,2016-02-04,2016-02-04,,Dennis Haysbert,Far from Heaven,1954-06-02
37,nm1535523,2016-02-04,2016-02-04,,Jaden Smith,The Karate Kid,1998-07-08
38,nm0003817,2016-02-04,2016-02-04,,Michael Clarke Duncan,The Green Mile,1957-12-10
39,nm0000151,2016-02-04,2016-02-04,,Morgan Freeman,Se7en,1937-06-01
40,nm0000932,2016-02-04,2016-02-04,,Halle Berry,Catwoman,1966-08-14
41,nm0461498,2016-02-04,2016-02-04,,Beyoncé,Dreamgirls,1981-09-04
42,nm0001856,2016-02-04,2016-02-04,,Oprah Winfrey,The Oprah Winfrey Show,1954-01-29
43,nm0000586,2016-02-04,2016-02-04,,Jada Pinkett Smith,The Matrix Revolutions,1971-09-18
44,nm0000155,2016-02-04,2016-02-04,,Whoopi Goldberg,Ghost,1955-11-13
45,nm0001451,2016-02-04,2016-02-04,,Queen Latifah,Hairspray,1970-03-18
46,nm0712368,2016-02-04,2016-02-04,,Raven-Symoné,That's So Raven,1985-12-10
47,nm1551130,2016-02-04,2016-02-04,,Keke Palmer,Alice,1993-08-26
48,nm0001390,2016-02-04,2016-02-04,,Janet Jackson,Poetic Justice,1966-05-16
49,nm0004691,2016-02-04,2016-02-04,,Aaliyah,Romeo Must Die,1979-01-16
50,nm0000427,2016-02-04,2016-02-04,,Pam Grier,Jackie Brown,1949-05-26
51,nm0000407,2016-02-04,2016-02-04,,Vivica A. Fox,Independence Day,1964-07-30
