Name,Race,Race_Specific
50 Cent,POC,Black
A.J. Johnson,POC,Black
A.J. Khan,POC,Black
Aaliyah,POC,Black
Aarón Díaz,POC,Hispanic
Aaron Ikeda,POC,Asian
Aasha Davis,POC,Black
Abie Ekenezar,POC,Black
Abiola Ogunbiyi,POC,Black
Abraham Lim,POC,Asian
Adaku Ononogbo,POC,Black
Adam Garcia,POC,Hispanic
Adam Irigoyen,POC,Hispanic
Adam Rodriguez,POC,Hispanic
Adan Canto,POC,Hispanic
Adele Givens,POC,Black
Adella Gautier,POC,Black
Adelyne Liu,POC,Asian
Adenrele Ojo,POC,Black
Adepero Oduye,POC,Black
Adi Alfa,POC,Black
Adina Porter,POC,Black
Adiz Benson,POC,Black
Adria Arjona,POC,Hispanic
Adriana Barraza,POC,Hispanic
Aeriél Miranda,POC,Black
Aimee Carrero,POC,Hispanic
Aimee Garcia,POC,Hispanic
AirRese Marie,POC,Black
Aisha Bryant,POC,Black
Aisha Hinds,POC,Black
Aisha Kabia,POC,Black
Aisha Tyler,POC,Black
Aisling Sistrunk,POC,Black
Aislinn Derbez,POC,Hispanic
Aïssa Maïga,POC,Black
Aja Naomi King,POC,Black
Ajarae Coleman,POC,Black
Akosua Adoma Owusu,POC,Black
Akosua Busia,POC,Black
Akua Santewa,POC,Black
Alain Uy,POC,Asian
Alana De La Garza,POC,Hispanic
Alana Ethridge,POC,Black
Alana Gordillo,POC,Black
Alberto Ammann,POC,Hispanic
Alberto Iglesias,POC,Hispanic
Alberto Rosende,POC,Hispanic
Alê Abreu,POC,Hispanic
Alec Mapa,POC,Asian
Aleia Kristene,POC,Black
Aleisha Allen,POC,Black
Alejandro Amenábar,POC,Hispanic
Alejandro Fernández Almendras,POC,Hispanic
Alejandro G. Iñárritu,POC,Hispanic
Alek Wek,POC,Black
Alerita Wynn,POC,Black
Álex González,POC,Hispanic
Alex Mallari Jr.,POC,Asian
Alex Marshall-Brown,POC,Black
Alex Meneses,POC,Hispanic
Alex Meraz,POC,Hispanic
Alex Rodríguez,POC,Hispanic
Alexa PenaVega,POC,Hispanic
Alexandra Grey,POC,Black
Alexis Fields,POC,Black
Alexis Jordan,POC,Black
Alexis Llewellyn,POC,Black
Alexis Louder,POC,Black
Alexis Suarez,POC,Hispanic
Alfonso Cuarón,POC,Hispanic
Alfonso Gomez-Rejon,POC,Hispanic
Alfonso Herrera,POC,Hispanic
Alfre Woodard,POC,Black
Alfred Molina,POC,Hispanic
Alfredo Castro,POC,Hispanic
Alfredo Narciso,POC,Hispanic
Algerita Wynn,POC,Black
Ali Chapman,POC,Black
Ali Stolar,POC,Black
Alice Braga,POC,Hispanic
Alice Rose,POC,Black
Alicia Keys,POC,Black
Alicia Monet Caldwell,POC,Black
Alicia Sixtos,POC,Hispanic
Alif Sankey,POC,Black
Alison Fernandez,POC,Hispanic
Aliza Pearl,POC,Black
Allegra Acosta,POC,Hispanic
Allen Maldonado,POC,Hispanic
Aloma Wright,POC,Black
Alycia Pascual-Pena,POC,Hispanic
Alysia Joy Powell,POC,Black
Alyssa Diaz,POC,Hispanic
Ama K. Abebrese,POC,Black
Amanda Christine,POC,Black
Amanda Payton,POC,Black
Amanda Seales,POC,Black
Amanda Van Annan,POC,Black
Amanda Westlake,POC,Asian
Amandla Stenberg,POC,Black
Amaury Nolasco,POC,Hispanic
Amber Kain,POC,Black
Amber Riley,POC,Black
Amber Stevens West,POC,Black
Ambrit Millhouse,POC,Black
Ambrosia Kelley,POC,Black
Amelia Marshall,POC,Black
America Ferrera,POC,Hispanic
Amerie,POC,Black
Amiya Steed,POC,Black
Amy Dionne,POC,Black
Ana de Armas,POC,Hispanic
Ana de la Reguera,POC,Hispanic
Ana Foxx,POC,Black
Ana Ortiz,POC,Hispanic
Ana Villafañe,POC,Hispanic
Anabelle Acosta,POC,Hispanic
Ananda Lewis,POC,Black
Andi Osho,POC,Black
André 3000,POC,Black
Andrea Ellsworth,POC,Black
Andrea Lyman,POC,Black
Andrea N. Winters,POC,Black
Andrea Navedo,POC,Hispanic
Andrea Suarez Paz,POC,Hispanic
Andrene Ward-Hammond,POC,Black
Andrew Jacobs,POC,Hispanic
Andrew Jimenez,POC,Hispanic
Andy Garcia,POC,Hispanic
Andy Lau,POC,Asian
Andy Muschietti,POC,Hispanic
Andy T. Tran,POC,Asian
Anele Lundborg,POC,Black
Angel Coulby,POC,Black
Angel Laketa Moore,POC,Black
Angel Parker,POC,Black
Angela Ardis,POC,Black
Angela Bassett,POC,Black
Angela Elayne Gibbs,POC,Black
Angela Frye,POC,Black
Angela Griffin,POC,Black
Angela Matemotja,POC,Black
Angela Ray,POC,Black
Angelica Lisk-Hann,POC,Black
Angelique Bates,POC,Black
Angelique Cabral,POC,Hispanic
Angelique Cinelu,POC,Black
Angell Conwell,POC,Black
Angelle Brooks,POC,Black
Angellica Bell,POC,Black
Angie Stone,POC,Black
Anika Noni Rose,POC,Black
Anisa Nyell Johnson,POC,Black
Anise Fuller,POC,Black
Anita Maria Taylor,POC,Black
Anjela Lauren Smith,POC,Black
Ann Wolfe,POC,Black
Anna Diop,POC,Black
