Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm3520506,2017-02-12,2017-02-12,,Alex Mallari Jr.,Ginny & Georgia,
2,nm2366079,2017-02-12,2017-02-12,,Bob Morley,The 100,1984-12-20
3,nm0000045,2017-02-12,2017-02-12,,Bruce Lee,Meng long guo jiang,1940-11-27
4,nm0496932,2017-02-12,2017-02-12,,Lee Byung-Hun,Dalkomhan insaeng,1970-07-12
5,nm3859624,2017-02-12,2017-02-12,,Ki Hong Lee,The Maze Runner,
6,nm0488273,2017-02-12,2017-02-12,,Christopher Larkin,The 100,1987-10-02
7,nm2024644,2017-02-12,2017-02-12,,Daniel Henney,Big Hero 6,1979-11-28
8,nm0947447,2017-02-12,2017-02-12,,Donnie Yen,Yip Man,1963-07-27
9,nm0196654,2017-02-12,2017-02-12,,Daniel Dae Kim,Insurgent,1968-08-04
10,nm0001786,2017-02-12,2017-02-12,,George Takei,Star Trek,1937-04-20
11,nm0158626,2017-02-12,2017-02-12,,John Cho,Harold & Kumar Go to White Castle,1972-06-16
12,nm5549251,2017-02-12,2017-02-12,,Forrest Wheeler,Fresh Off the Boat,
13,nm1059827,2017-02-12,2017-02-12,,Tom Choi,Truth or Dare,
14,nm3295837,2017-02-12,2017-02-12,,Godfrey Gao,The Mortal Instruments: City of Bones,1984-09-22
15,nm1484270,2017-02-12,2017-02-12,,Harry Shum Jr.,Crazy Rich Asians,1982-04-28
16,nm0000329,2017-02-12,2017-02-12,,Jackie Chan,Ngo si seoi,1954-04-07
17,nm0001472,2017-02-12,2017-02-12,,Jet Li,Huo Yuan Jia,1963-04-26
18,nm2014390,2017-02-12,2017-02-12,,Justin Chon,Twilight,1981-05-29
19,nm0504962,2017-02-12,2017-02-12,,Ken Leung,The Sopranos,1970-01-21
20,nm0421822,2017-02-12,2017-02-12,,Ken Jeong,The Hangover,1969-07-13
21,nm0913822,2017-02-12,2017-02-12,,Ken Watanabe,The Last Samurai,1959-10-21
22,nm1199811,2017-02-12,2017-02-12,,Masi Oka,Heroes,1974-12-27
23,nm3211555,2017-02-12,2017-02-12,,Matthew Moy,Steven Universe,1984-02-03
24,nm3316279,2017-02-12,2017-02-12,,Lee Min-Ho,Kkotboda namja,1987-06-22
25,nm4456672,2017-02-12,2017-02-12,,Nico Santos,Crazy Rich Asians,
26,nm4797000,2017-02-12,2017-02-12,,Peter Adrian Sudarso,Power Rangers Ninja Steel,1990-08-20
27,nm8015252,2017-02-12,2017-02-12,,Phuriphop Srichan,Crossing into the Mystic,1993-02-18
28,nm1320827,2017-02-12,2017-02-12,,Randall Park,WandaVision,1974-03-23
29,nm3994407,2017-02-12,2017-02-12,,Ryan Potter,Big Hero 6,1995-09-12
30,nm1553460,2017-02-12,2017-02-12,,Samuel Patrick Chu,Diary of a Wimpy Kid,
31,nm5337106,2017-02-12,2017-02-12,,Toru Uchikado,Heroes Reborn,
32,nm0422638,2017-02-12,2017-02-12,,Wen Jiang,Rogue One,1963-01-05
33,nm6338474,2017-02-12,2017-02-12,,Jonathan Lee,Brawl in Cell Block 99,
34,nm1732080,2017-02-12,2017-02-12,,Doua Moua,Mulan,1962-02-07
35,nm0000703,2017-02-12,2017-02-12,,BD Wong,Jurassic Park,1960-10-24
36,nm0760796,2017-02-12,2017-02-12,,Hiroyuki Sanada,Tasogare Seibei,1960-10-12
37,nm1645304,2017-02-12,2017-02-12,,James Kyson,Preacher,1975-12-13
38,nm0950935,2017-02-12,2017-02-12,,Rick Yune,The Fast and the Furious,1971-08-22
39,nm4272259,2017-02-12,2017-02-12,,Vincent Rodriguez III,Crazy Ex-Girlfriend,1982-08-10
40,nm0544568,2017-02-12,2017-02-12,,Alec Mapa,You Don't Mess with the Zohan,1965-07-10
41,nm0002364,2017-02-12,2017-02-12,,Dante Basco,Hook,1975-08-29
42,nm0001092,2017-02-12,2017-02-12,,Mark Dacascos,Le Pacte des Loups,1964-02-26
43,nm1839922,2017-02-12,2017-02-12,,Jo Koy,Wake.,
44,nm1698870,2017-02-12,2017-02-12,,John Juanda,Lucky You,1971-07-08
45,nm0001462,2017-02-12,2017-02-12,,Jason Scott Lee,Dragon: The Bruce Lee Story,1966-11-19
46,nm0791487,2017-02-12,2017-02-12,,Parry Shen,General Hospital,1973-06-26
47,nm0846480,2017-02-12,2017-02-12,,Cary-Hiroyuki Tagawa,Mortal Kombat,1950-09-27
48,nm0850875,2017-02-12,2017-02-12,,Chris Tashima,Go for Broke,
49,nm1060557,2017-02-12,2017-02-12,,Mike Shinoda,Transformers,1977-02-11
50,nm3081796,2017-02-15,2017-02-15,,Steven Yeun,Minari,1983-12-21
51,nm0490489,2017-02-15,2017-02-15,,Andy Lau,Mou gaan dou,1961-09-27
52,nm1047193,2017-02-15,2017-02-15,,Won Bin,Ajeossi,1977-11-10
53,nm0874866,2017-02-15,2017-02-15,,Nicholas Tse,San ging chaat goo si,1980-08-29
54,nm6518721,2017-02-15,2017-02-15,,Talu Wang,Our Times,1991-05-29
55,nm3485108,2017-02-15,2017-02-15,,Ludi Lin,Power Rangers,1987-11-11
56,nm2096658,2017-02-15,2017-02-15,,Aaron Ikeda,Scrubs,1965-07-30
57,nm0510499,2017-02-15,2017-02-15,,Abraham Lim,The Boys,
58,nm1751175,2017-02-15,2017-02-15,,Alain Uy,Helstrom,
59,nm2903041,2017-02-15,2017-02-15,,Andy T. Tran,The Last Ship,1983-10-06
60,nm2615178,2017-02-17,2017-02-17,,Eugene Shaw,Mr. Robot,
61,nm1167985,2017-02-17,2017-02-17,,Lewis Tan,Mortal Kombat,1987-02-04
62,nm1273613,2017-02-17,2017-02-17,,Yun Choi,Threat Matrix,
63,nm0155196,2017-02-17,2017-02-17,,Christopher Chen,Young Rock,1966-07-26
64,nm1502541,2017-02-17,2017-02-17,,Tom Yi,Bridesmaids,
65,nm2657185,2017-02-17,2017-02-17,,Jon Lee Brody,DC Universe All Star Games,1984-01-22
66,nm0943079,2017-03-24,2017-03-24,,Daniel Wu,San ging chaat goo si,1974-09-30
