Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0452860,2013-07-22,2013-07-22,,Rinko Kikuchi,Babel,1981-01-06
2,nm0648645,2013-07-22,2013-07-22,,Jaymee Ong,Pearl Harbor,1979-09-21
3,nm0001840,2013-07-22,2013-07-22,,Ming-Na Wen,Mulan,1963-11-20
4,nm0453746,2013-07-22,2013-07-22,,Yunjin Kim,Lost,1973-11-07
5,nm0000084,2013-07-22,2013-07-22,,Gong Li,Man cheng jin dai huang jin jia,1965-12-31
6,nm3876431,2013-07-22,2013-07-22,,Grace Huang,The Man with the Iron Fists,
7,nm0955505,2013-07-22,2013-07-22,,Wei Zhao,Hua Mulan,1976-03-12
8,nm3036914,2013-07-22,2013-07-22,,Arden Cho,Teen Wolf,1985-08-16
9,nm0432428,2013-07-22,2013-07-22,,Jun Ji-Hyun,Yeopgijeogin geunyeo,1981-10-30
10,nm0475752,2013-07-22,2013-07-22,,Chiaki Kuriyama,Kill Bill: Vol. 1,1984-10-10
11,nm0795517,2013-07-22,2013-07-22,,Qi Shu,The Transporter,1976-04-16
12,nm2110418,2013-07-22,2013-07-22,,Gemma Chan,Eternals,1982-11-29
13,nm2443438,2013-07-22,2013-07-22,,Hana Mae Lee,Pitch Perfect,1988-09-28
14,nm1801651,2013-07-22,2013-07-22,,Natthaweeranuch Thongmee,Shutter,1979-10-28
15,nm0411725,2013-07-22,2013-07-22,,Misaki Itô,Ju-on,1977-05-26
16,nm2071646,2013-07-22,2013-07-22,,Lauren Shiohama,Little Miss Sunshine,1982-03-27
17,nm0944647,2013-07-22,2013-07-22,,Qing Xu,Looper,1969-01-22
18,nm0793069,2013-07-22,2013-07-22,,Ko Shibasaki,Batoru rowaiaru,1981-08-05
19,nm1703577,2013-07-22,2013-07-22,,Yifei Liu,Mulan,1987-08-25
20,nm0005026,2013-07-22,2013-07-22,,Kelly Hu,The Scorpion King,1968-02-13
21,nm1475754,2013-07-22,2013-07-22,,Aya Ueto,Azumi,1985-09-14
22,nm0155618,2013-07-22,2013-07-22,,Sammi Cheng,Mou gaan dou,1972-08-19
23,nm2610299,2013-07-22,2013-07-22,,Atiqah Hasiholan,3 Nafas Likas,
24,nm2731607,2013-07-22,2013-07-22,,Rahayu Saraswati,Java Heat,
25,nm1512166,2013-07-22,2013-07-22,,Jamie Chung,Big Hero 6,1983-04-10
26,nm1788146,2013-07-22,2013-07-22,,Julia Ling,Tactical Girl,1983-02-14
27,nm2512937,2013-07-22,2013-07-22,,Selina Lo,Boss Level,
28,nm2430932,2013-07-22,2013-07-22,,Krystal Vee,Street Fighter: The Legend of Chun-Li,1987-11-28
29,nm1392388,2013-07-22,2013-07-22,,Elodie Yung,The Hitman's Bodyguard,1981-02-22
30,nm3762213,2013-07-22,2013-07-22,,Shay Mitchell,Pretty Little Liars,1987-04-10
31,nm1523899,2013-07-22,2013-07-22,,Sara Malakul Lane,King Arthur and the Knights of the Round Table,1983-02-01
32,nm2861251,2013-07-22,2013-07-22,,Sarah Lian,Jasmine,
33,nm1840503,2013-07-22,2013-07-22,,Wulan Guritno,Dilema,1980-04-14
34,nm1984618,2013-07-22,2013-07-22,,Lulu Antariksa,What Still Remains,1995-08-22
35,nm3276414,2013-07-22,2013-07-22,,Chasty Ballesteros,The Ranch,1981-01-03
36,nm3637454,2013-07-22,2013-07-22,,Devon Diep,Honest Thief,
37,nm3585283,2013-07-22,2013-07-22,,Melissa Paulo,Sex Tape,1985-11-25
38,nm4348951,2013-07-22,2013-07-22,,Kristin Kimiya,1000 Ways to Die,
39,nm4388384,2013-07-22,2013-07-22,,Ming Zhao,Keeping Up with the Joneses,
40,nm3100990,2013-07-22,2013-07-22,,Aoni Ma,The Favor,
41,nm3869524,2013-07-22,2013-07-22,,Chantal Thuy,Black Lightning,
42,nm4606846,2013-07-22,2013-07-22,,Hedy Wong,Take Out Girl,
43,nm3822586,2013-07-22,2013-07-22,,Shuya Chang,"Crouching Tiger, Hidden Dragon: Sword of Destiny",
44,nm2771798,2013-07-22,2013-07-22,,Ellen Wong,Scott Pilgrim vs. the World,1985-05-31
45,nm1875711,2013-07-22,2013-07-22,,Rachel Huxtable,For Evie,1985-06-17
46,nm3025251,2013-07-22,2013-07-22,,Emi Ikehata,The Grudge 3,1978-03-28
47,nm1870208,2013-07-22,2013-07-22,,Sei Ashina,Silk,1983-11-22
48,nm3390465,2013-07-22,2013-07-22,,Miyavi Matsunoi,Venus in Eros,1988-01-01
49,nm3389416,2013-07-22,2013-07-22,,Narisa Suzuki,The Ricist,
50,nm3102674,2013-07-22,2013-07-22,,Ellen Ho,Pleasures,1988-07-10
51,nm3891625,2013-07-22,2013-07-22,,Liu Wen,Ocean's Eight,1988-01-27
52,nm3632657,2013-07-22,2013-07-22,,Reena Tolentino,Sol 1,1986-12-16
53,nm2018335,2013-07-22,2013-07-22,,Eva Mah,Don Jon,
54,nm3784513,2013-07-22,2013-07-22,,Adelyne Liu,Swelter,
55,nm3187668,2013-07-22,2013-07-22,,Jen Kwok,Eat Pray Love,
56,nm1865641,2013-07-22,2013-07-22,,Mayu Gamou,Tokusou sentai Dekarenjâ,
57,nm3223076,2013-07-22,2013-07-22,,Mia Ando,Neon Daze,
58,nm4388457,2013-07-22,2013-07-22,,Kelsey Wang,General Hospital,
59,nm3555062,2013-07-22,2013-07-22,,Cat Navarro Lee,She Wants Me,
60,nm3232519,2013-07-22,2013-07-22,,Sayo,City of Scars,
61,nm5148840,2013-07-29,2013-07-29,,Tao Okamoto,The Wolverine,1985-05-22
62,nm3822462,2013-07-29,2013-07-29,,Rila Fukushima,"1,000,000 yen no Onnatachi",
63,nm1046845,2013-08-01,2013-08-01,,Song Hye-Kyo,Yi dai zong shi,1981-11-22
