"titles","year","imdb_rating","num_votes","genre","film_rating","director","lead_actor","gross","max_theaters","opening_gross","opening_weekend_perc","opening_theaters","open_date","close_date","Race","Race_Specific"
"Star Wars: Episode VIII - The Last Jedi","2017",7,571477,"Action","PG-13","Rian Johnson","Daisy Ridley",620181382,4232,220009584,"35.5",4232,"2017-12-01","2017-12-01","Not POC","White"
"Beauty and the Beast","2017",7.1,277780,"Action","PG","Bill Condon","Emma Watson",504014165,4232,174750616,"34.7",4232,"2017-04-01","2017-04-01","Not POC","White"
"Beauty and the Beast","2017",7.1,277780,"Action","PG","Bill Condon","Emma Watson",467000,2194,467000,"0",2194,"2020-10-01","2020-10-01","Not POC","White"
"Wonder Woman","2017",7.4,583896,"Action","PG-13","Patty Jenkins","Gal Gadot",412563408,4210,103251471,"25",4210,"2017-03-01","2017-03-01","Not POC","White"
"Wonder Woman","2017",7.4,583896,"Action","PG-13","Patty Jenkins","Gal Gadot",252000,129,189000,"0",129,"","","Not POC","White"
"Jumanji: Welcome to the Jungle","2017",6.9,325184,"Action","PG-13","Jake Kasdan","Dwayne Johnson",404515480,4210,36169328,"8.9",4210,"2017-07-01","2017-07-01","POC","Black"
"Guardians of the Galaxy Vol. 2","2017",7.6,579917,"Action","PG-13","James Gunn","Chris Pratt",389813101,4165,146510104,"37.6",4165,"2017-06-01","2017-06-01","Not POC","White"
"Spider-Man: Homecoming","2017",7.4,523586,"Action","PG-13","Jon Watts","Tom Holland",334201140,4165,117027503,"35",4165,"2017-11-01","2017-11-01","Not POC","White"
"It","2017",7.3,464975,"Action","R","Andy Muschietti","Bill Skarsgård",327481748,3849,123403419,"37.7",3849,"2017-12-01","2017-12-01","Not POC","White"
"It","2017",7.3,464975,"Action","R","Andy Muschietti","Bill Skarsgård",1347126,3652,0,"0",3652,"2019-07-01","2019-07-01","Not POC","White"
"Thor: Ragnarok","2017",7.9,602657,"Action","PG-13","Taika Waititi","Chris Hemsworth",315058289,3765,122744989,"39",3765,"2017-05-01","2017-05-01","Not POC","White"
"Despicable Me 3","2017",6.3,115832,"Action","PG","Kyle Balda","Pierre Coffin",264624300,4347,72434025,"27.4",4347,"2017-05-01","2017-05-01","Not POC","White"
"Justice League","2017",6.2,406012,"Action","PG-13","Zack Snyder","Ben Affleck",229024295,4347,93842239,"41",4347,"2017-09-01","2017-09-01","Not POC","White"
"Logan","2017",8.1,657892,"Action","R","James Mangold","Hugh Jackman",226277068,4348,88411916,"39.1",4348,"2017-07-01","2017-07-01","Not POC","White"
"The Fate of the Furious","2017",6.7,207283,"Action","PG-13","F. Gary Gray","Vin Diesel",226008385,4348,98786705,"43.7",4348,"2017-11-01","2017-11-01","Not POC","White"
"Coco","2017",8.4,396713,"Action","PG","Lee Unkrich","Adrian Molina",210460015,4148,50802605,"24.1",4148,"2017-09-01","2017-09-01","Not POC","White"
"Dunkirk","2017",7.8,565248,"Action","PG-13","Christopher Nolan","Fionn Whitehead",188045546,4103,50513488,"26.9",4103,"2017-12-01","2017-12-01","Not POC","White"
"Dunkirk","2017",7.8,565248,"Action","PG-13","Christopher Nolan","Fionn Whitehead",1695119,3174,122115,"7.2",3174,"2017-05-01","2017-05-01","Not POC","White"
"Get Out","2017",7.7,501310,"Action","R","Jordan Peele","Daniel Kaluuya",176040665,4080,33377060,"19",4080,"2017-11-01","2017-11-01","Not POC","White"
"The Lego Batman Movie","2017",7.3,132467,"Action","PG","Chris McKay","Will Arnett",175750384,4080,53003468,"30.2",4080,"2017-03-01","2017-03-01","Not POC","White"
"The Boss Baby","2017",6.3,110234,"Action","PG","Tom McGrath","Alec Baldwin",175003033,4535,50198902,"28.7",4535,"2017-06-01","2017-06-01","Not POC","White"
