titles,year,imdb_rating,num_votes,genre,film_rating,director,lead_actor,gross,max_theaters,opening_gross,opening_weekend_perc,opening_theaters,open_date,close_date,Race,Race_Specific,Male
Black Panther,2018,7.3,637759,Action,PG-13,Ryan Coogler,Chadwick Boseman,700059566,4084,202003951,28.9,4084,2/1/2018,2/1/2018,POC,Black,1
Star Wars: Episode VIII - The Last Jedi,2017,7,571477,Action,PG-13,Rian Johnson,Daisy Ridley,620181382,4232,220009584,35.5,4232,12/1/2017,12/1/2017,Not POC,White,0
Incredibles 2,2018,7.6,254766,Action,PG,Brad Bird,Craig T. Nelson,608581744,4474,182687905,30,4474,4/1/2018,4/1/2018,Not POC,White,1
The Lion King,2019,6.9,216090,Action,PG,Jon Favreau,Donald Glover,543638043,4662,191770759,35.3,4662,9/1/2019,9/1/2019,POC,Black,1
Beauty and the Beast,2017,7.1,277780,Action,PG,Bill Condon,Emma Watson,504014165,4232,174750616,34.7,4232,4/1/2017,4/1/2017,Not POC,White,0
Frozen II,2019,6.9,141197,Action,PG,Chris Buck,Jennifer Lee,477373578,4725,130263358,27.3,4725,12/1/2019,12/1/2019,Not POC,White,0
Toy Story 4,2019,7.8,208615,Action,G,Josh Cooley,Tom Hanks,434038008,4406,120908065,27.9,4406,12/1/2019,12/1/2019,Not POC,White,1
Captain Marvel,2019,6.9,460148,Action,PG-13,Anna Boden,Ryan Fleck,426829839,4406,153433423,35.9,4406,,,Not POC,White,1
Jurassic World: Fallen Kingdom,2018,6.2,270163,Action,PG-13,J.A. Bayona,Chris Pratt,417719760,4474,148024610,35.4,4474,9/1/2018,9/1/2018,Not POC,White,1
Wonder Woman,2017,7.4,583896,Action,PG-13,Patty Jenkins,Gal Gadot,412563408,4210,103251471,25,4210,3/1/2017,3/1/2017,Not POC,White,0
Jumanji: Welcome to the Jungle,2017,6.9,325184,Action,PG-13,Jake Kasdan,Dwayne Johnson,404515480,4210,36169328,8.9,4210,7/1/2017,7/1/2017,POC,Black,1
Spider-Man: Far from Home,2019,7.5,335793,Action,PG-13,Jon Watts,Tom Holland,390532085,4440,92579212,23.7,4440,11/1/2019,11/1/2019,Not POC,White,1
Guardians of the Galaxy Vol. 2,2017,7.6,579917,Action,PG-13,James Gunn,Chris Pratt,389813101,4165,146510104,37.6,4165,6/1/2017,6/1/2017,Not POC,White,1
Aladdin,2019,6.9,232121,Action,PG,Guy Ritchie,Will Smith,355559216,4440,91500929,25.7,4440,8/5/2019,,POC,Black,1
Joker,2019,8.4,973854,Action,R,Todd Phillips,Joaquin Phoenix,335451311,4575,96202337,28.7,4575,6/1/2019,6/1/2019,POC,Hispanic,1
Aquaman,2018,6.9,386531,Action,PG-13,James Wan,Jason Momoa,335061807,4410,67873522,20.3,4410,6/1/2018,6/1/2018,POC,White,1
Spider-Man: Homecoming,2017,7.4,523586,Action,PG-13,Jon Watts,Tom Holland,334201140,4165,117027503,35,4165,11/1/2017,11/1/2017,Not POC,White,1
It,2017,7.3,464975,Action,R,Andy Muschietti,Bill Skarsgård,327481748,3849,123403419,37.7,3849,12/1/2017,12/1/2017,Not POC,White,1
Jumanji: The Next Level,2019,6.6,194259,Action,PG-13,Jake Kasdan,Dwayne Johnson,320314960,4575,59251543,18.5,4575,12/1/2019,12/1/2019,POC,Black,1
Deadpool 2,2018,7.7,489396,Action,R,David Leitch,Ryan Reynolds,318491426,4410,125507153,39.4,4410,12/1/2018,12/1/2018,Not POC,White,1
Thor: Ragnarok,2017,7.9,602657,Action,PG-13,Taika Waititi,Chris Hemsworth,315058289,3765,122744989,39,3765,5/1/2017,5/1/2017,Not POC,White,1
The Grinch,2018,6.3,56923,Action,PG,Yarrow Cheney,Scott Mosier,270620950,4485,67572855,25,4485,6/1/2018,6/1/2018,Not POC,White,1
Despicable Me 3,2017,6.3,115832,Action,PG,Kyle Balda,Steve Carell,264624300,4347,72434025,27.4,4347,5/1/2017,5/1/2017,Not POC,White,1
Justice League,2017,6.2,406012,Action,PG-13,Zack Snyder,Ben Affleck,229024295,4347,93842239,41,4347,9/1/2017,9/1/2017,Not POC,White,1
Logan,2017,8.1,657892,Action,R,James Mangold,Hugh Jackman,226277068,4348,88411916,39.1,4348,7/1/2017,7/1/2017,Not POC,White,1
The Fate of the Furious,2017,6.7,207283,Action,PG-13,F. Gary Gray,Vin Diesel,226008385,4348,98786705,43.7,4348,11/1/2017,11/1/2017,POC,Hispanic,1
Mission: Impossible - Fallout,2018,7.7,295824,Action,PG-13,Christopher McQuarrie,Tom Cruise,220159104,4475,61236534,27.8,4475,10/1/2018,10/1/2018,Not POC,White,1
