Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0671567,2016-03-02,2016-03-02,,Michael Peña,American Hustle,1976-01-13
2,nm0065007,2016-03-02,2016-03-02,,Demián Bichir,The Hateful Eight,1963-08-01
3,nm1209966,2016-03-02,2016-03-02,,Oscar Isaac,Ex Machina,1979-03-09
4,nm1503432,2016-03-02,2016-03-02,,Catalina Sandino Moreno,Maria Full of Grace,1981-04-19
5,nm1752221,2016-03-02,2016-03-02,,Gina Rodriguez,Deepwater Horizon,1984-07-30
6,nm0305558,2016-03-02,2016-03-02,,Gael García Bernal,Mozart in the Jungle,1978-11-30
7,nm0526019,2016-03-02,2016-03-02,,Diego Luna,Rogue One,1979-12-29
8,nm0005527,2016-03-02,2016-03-02,,Sofía Vergara,Hot Pursuit,1972-07-10
9,nm0000161,2016-03-02,2016-03-02,,Salma Hayek,Frida,1966-09-02
10,nm0056770,2016-03-02,2016-03-02,,Adriana Barraza,Babel,1956-03-05
11,nm1546300,2016-03-02,2016-03-02,,Diego Boneta,Luis Miguel: La Serie,1990-11-29
12,nm1183149,2016-03-02,2016-03-02,,Edgar Ramírez,Gold,1977-03-25
13,nm0379596,2016-03-02,2016-03-02,,Jay Hernandez,Hostel,1978-02-20
14,nm0000182,2016-03-02,2016-03-02,,Jennifer Lopez,Gigli,1969-07-24
15,nm0735442,2016-03-02,2016-03-02,,Michelle Rodriguez,Avatar,1978-07-12
16,nm1065229,2016-03-02,2016-03-02,,America Ferrera,The Sisterhood of the Traveling Pants,1984-04-18
17,nm0000104,2016-03-02,2016-03-02,,Antonio Banderas,The Mask of Zorro,1960-08-10
18,nm0000849,2016-03-02,2016-03-02,,Javier Bardem,Skyfall,1969-03-01
19,nm0004851,2016-03-02,2016-03-02,,Penélope Cruz,Vicky Cristina Barcelona,1974-04-28
20,nm0001549,2016-03-02,2016-03-02,,Rita Moreno,West Side Story,1931-12-11
21,nm0000412,2016-03-02,2016-03-02,,Andy Garcia,Ocean's Eleven,1956-04-12
22,nm0001579,2016-03-02,2016-03-02,,Edward James Olmos,Battlestar Galactica,1947-02-24
23,nm1411125,2016-03-02,2016-03-02,,Selena Gomez,Monte Carlo,1992-07-22
24,nm3121384,2016-03-02,2016-03-02,,Becky G,Power Rangers,1997-03-02
25,nm2362713,2016-03-02,2016-03-02,,Stephanie Sigman,Annabelle: Creation,1987-02-28
26,nm0005519,2016-03-02,2016-03-02,,Wilmer Valderrama,That '70s Show,1980-01-30
27,nm4554428,2016-03-02,2016-03-02,,Ryan Guzman,The Boy Next Door,1987-09-21
28,nm0000547,2016-03-02,2016-03-02,,Alfred Molina,Spider-Man 2,1953-05-24
29,nm0001125,2016-03-02,2016-03-02,,Benicio Del Toro,Sicario,1967-02-19
30,nm2201555,2016-03-02,2016-03-02,,Aubrey Plaza,Safety Not Guaranteed,1984-06-26
31,nm0206257,2016-03-02,2016-03-02,,Rosario Dawson,Rent,1979-05-09
32,nm0757855,2016-03-02,2016-03-02,,Zoe Saldana,Avatar,1978-06-19
33,nm0530249,2016-03-02,2016-03-02,,Mario Lopez,Get Him to the Greek,1973-10-10
34,nm0001803,2016-03-02,2016-03-02,,Danny Trejo,Machete,1944-05-16
35,nm0519456,2016-03-02,2016-03-02,,Eva Longoria,Desperate Housewives,1975-03-15
36,nm1416215,2016-03-02,2016-03-02,,Demi Lovato,Camp Rock,1992-08-20
37,nm0004694,2016-03-02,2016-03-02,,Christina Aguilera,The Voice,1980-12-18
38,nm0005193,2016-03-02,2016-03-02,,Ricky Martin,August: Osage County,1971-12-24
39,nm0001609,2016-03-02,2016-03-02,,Rosie Perez,White Men Can't Jump,1964-09-06
40,nm0729369,2016-03-02,2016-03-02,,Naya Rivera,Glee,1987-01-12
41,nm1682573,2016-03-02,2016-03-02,,Justin Baldoni,Five Feet Apart,1984-01-24
42,nm0131781,2016-03-02,2016-03-02,,Jaime Camil,Jane the Virgin,1973-07-22
43,nm0246612,2016-03-02,2016-03-02,,Jorge Diaz,Paranormal Activity: The Marked Ones,1983-08-22
44,nm0000491,2016-03-02,2016-03-02,,John Leguizamo,Moulin Rouge!,1964-07-22
45,nm2030779,2016-03-02,2016-03-02,,Moises Arias,Ender's Game,1994-04-18
46,nm0553468,2016-03-02,2016-03-02,,Benito Martinez,Sons of Anarchy,1971-06-28
47,nm0478886,2016-03-02,2016-03-02,,Ana de la Reguera,Nacho Libre,1977-04-08
48,nm0891786,2016-03-02,2016-03-02,,Alexa PenaVega,Spy Kids 2: Island of Lost Dreams,1988-08-27
49,nm0787680,2016-03-02,2016-03-02,,Shakira,Zootopia,1977-02-02
50,nm0103797,2016-03-02,2016-03-02,,Alice Braga,I Am Legend,1983-04-15
51,nm0535502,2016-03-02,2016-03-02,,Mía Maestro,The Strain,1978-06-19
52,nm1268158,2016-03-02,2016-03-02,,Dania Ramirez,Premium Rush,1979-11-08
53,nm0215487,2016-03-02,2016-03-02,,Kate del Castillo,The Book of Life,1972-10-23
54,nm3450051,2016-03-02,2016-03-02,,Richard Cabral,End of Watch,
55,nm0763928,2016-03-02,2016-03-02,,Rodrigo Santoro,300,1975-08-22
56,nm0609944,2016-03-02,2016-03-02,,Wagner Moura,Tropa de Elite,1976-06-27
57,nm0735226,2016-03-02,2016-03-02,,Adam Rodriguez,CSI: Miami,1975-04-02
58,nm0646568,2016-03-02,2016-03-02,,Karla Souza,How to Get Away with Murder,
59,nm0592135,2016-03-02,2016-03-02,,Lin-Manuel Miranda,Hamilton,1980-01-16
60,nm0220240,2016-03-02,2016-03-02,,Eugenio Derbez,No se aceptan devoluciones,1962-09-02
61,nm1832584,2016-03-02,2016-03-02,,Mario Casas,Tres metros sobre el cielo,1986-06-12
62,nm4205710,2016-03-02,2016-03-02,,Miguel Gomez,Southpaw,
63,nm1270781,2016-03-02,2016-03-02,,Alfonso Herrera,Amar te duele,1983-08-28
64,nm2555462,2016-03-02,2016-03-02,,Eiza González,Baby Driver,1990-01-30
65,nm0578949,2016-03-02,2016-03-02,,Eva Mendes,Hitch,1974-03-05
66,nm0246686,2016-03-02,2016-03-02,,Melonie Diaz,Fruitvale Station,1984-04-25
67,nm4023073,2016-03-02,2016-03-02,,Rosa Salazar,Alita: Battle Angel,1985-07-16
68,nm1072555,2016-03-02,2016-03-02,,Morena Baccarin,Deadpool,1979-06-02
69,nm0692677,2016-03-02,2016-03-02,,Tyler Posey,Teen Wolf,1991-10-18
70,nm0134072,2016-03-02,2016-03-02,,Bobby Cannavale,The Station Agent,1970-05-03
71,nm1645334,2016-03-02,2016-03-02,,Luis Gerardo Méndez,Charlie's Angels,1982-03-12
72,nm1049982,2016-03-02,2016-03-02,,Óscar Jaenada,The Losers,1975-05-04
73,nm0623085,2016-03-02,2016-03-02,,Andrea Navedo,Remember Me,
74,nm1085051,2016-03-02,2016-03-02,,Santiago Cabrera,Big Little Lies,1978-05-05
75,nm0050959,2016-03-02,2016-03-02,,Pedro Pascal,The Mandalorian,1975-04-02
76,nm1270009,2016-03-02,2016-03-02,,Genesis Rodriguez,Man on a Ledge,1987-07-29
77,nm0634393,2016-03-02,2016-03-02,,Elvis Nolasco,American Crime,
78,nm1727825,2016-03-02,2016-03-02,,Tony Revolori,The Grand Budapest Hotel,1996-04-28
79,nm5555747,2016-03-02,2016-03-02,,Callie Hernandez,Alien: Covenant,1988-05-24
80,nm2474632,2016-03-02,2016-03-02,,Gabriel Chavarria,War for the Planet of the Apes,
81,nm2216161,2016-03-02,2016-03-02,,Johnny Ortiz,Ali,
82,nm3992614,2016-03-02,2016-03-02,,Harmony Santana,Gun Hill Road,
83,nm6702770,2016-03-02,2016-03-02,,Kitana Kiki Rodriguez,Tangerine,
84,nm2763309,2016-03-02,2016-03-02,,Gleendilys Inoa,American Crime,
85,nm0708381,2016-03-02,2016-03-02,,Sara Ramirez,Grey's Anatomy,1975-08-31
86,nm1775614,2016-03-02,2016-03-02,,Miguel Ángel Silvestre,Sin tetas no hay paraíso,1982-04-06
87,nm0021835,2016-03-02,2016-03-02,,Joaquim de Almeida,Fast Five,1957-03-15
88,nm0350079,2016-03-02,2016-03-02,,Luis Guzmán,Traffic,1956-08-28
89,nm0651159,2016-03-02,2016-03-02,,John Ortiz,Silver Linings Playbook,1968-05-23
90,nm1842439,2016-03-02,2016-03-02,,Victoria Justice,Victorious,1993-02-19
91,nm1821327,2016-03-02,2016-03-02,,Carlos PenaVega,Big Time Rush,1989-08-15
92,nm0004695,2016-03-02,2016-03-02,,Jessica Alba,Fantastic Four,1981-04-28
93,nm0171583,2016-03-02,2016-03-02,,Ivonne Coll,Instinct,1947-06-18
94,nm0054214,2016-03-02,2016-03-02,,Carlos Bardem,Celda 211,1963-03-07
95,nm1593407,2016-03-02,2016-03-02,,Diego Cataño,ZeroZeroZero,1990-07-05
