Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0001549,2017-11-15,2017-11-15,,Rita Moreno,West Side Story,1931-12-11
2,nm0526019,2017-11-15,2017-11-15,,Diego Luna,Rogue One,1979-12-29
3,nm0305558,2017-11-15,2017-11-15,,Gael García Bernal,Mozart in the Jungle,1978-11-30
4,nm0761052,2017-11-15,2017-11-15,,Roselyn Sanchez,Act of Valor,1973-04-02
5,nm0519456,2017-11-15,2017-11-15,,Eva Longoria,Desperate Housewives,1975-03-15
6,nm1209966,2017-11-15,2017-11-15,,Oscar Isaac,Ex Machina,1979-03-09
7,nm0000182,2017-11-15,2017-11-15,,Jennifer Lopez,Gigli,1969-07-24
8,nm2555462,2017-11-15,2017-11-15,,Eiza González,Baby Driver,1990-01-30
9,nm0001125,2017-11-15,2017-11-15,,Benicio Del Toro,Sicario,1967-02-19
10,nm1752221,2017-11-15,2017-11-15,,Gina Rodriguez,Deepwater Horizon,1984-07-30
11,nm0065007,2017-11-15,2017-11-15,,Demián Bichir,The Hateful Eight,1963-08-01
12,nm4058898,2017-11-15,2017-11-15,,Diane Guerrero,Orange Is the New Black,1986-07-21
13,nm0721332,2017-11-15,2017-11-15,,Judy Reyes,Scrubs,1967-11-05
14,nm1065229,2017-11-15,2017-11-15,,America Ferrera,The Sisterhood of the Traveling Pants,1984-04-18
15,nm0206257,2017-11-15,2017-11-15,,Rosario Dawson,Rent,1979-05-09
16,nm1546300,2017-11-15,2017-11-15,,Diego Boneta,Luis Miguel: La Serie,1990-11-29
17,nm4554428,2017-11-15,2017-11-15,,Ryan Guzman,The Boy Next Door,1987-09-21
18,nm0757855,2017-11-15,2017-11-15,,Zoe Saldana,Avatar,1978-06-19
19,nm3277599,2017-11-15,2017-11-15,,Aislinn Derbez,Estar o no estar,1986-03-18
20,nm0103797,2017-11-15,2017-11-15,,Alice Braga,I Am Legend,1983-04-15
21,nm0868659,2017-11-15,2017-11-15,,Gina Torres,Serenity,1969-04-25
22,nm0520064,2017-11-15,2017-11-15,,George Lopez,George Lopez,1961-04-23
23,nm0134072,2017-11-15,2017-11-15,,Bobby Cannavale,The Station Agent,1970-05-03
24,nm0532461,2017-11-15,2017-11-15,,Justina Machado,Torque,1972-09-06
25,nm0154632,2017-11-15,2017-11-15,,Ricardo Chavira,Desperate Housewives,1971-09-01
26,nm0000491,2017-11-15,2017-11-15,,John Leguizamo,Moulin Rouge!,1964-07-22
27,nm0708288,2017-11-15,2017-11-15,,Daria Ramirez,Aguila,
28,nm0692677,2017-11-15,2017-11-15,,Tyler Posey,Teen Wolf,1991-10-18
29,nm2028116,2017-11-15,2017-11-15,,Cierra Ramirez,Girl in Progress,1995-03-09
30,nm1411125,2017-11-15,2017-11-15,,Selena Gomez,Monte Carlo,1992-07-22
31,nm0001803,2017-11-15,2017-11-15,,Danny Trejo,Machete,1944-05-16
32,nm0000412,2017-11-15,2017-11-15,,Andy Garcia,Ocean's Eleven,1956-04-12
33,nm0000973,2017-11-15,2017-11-15,,Benjamin Bratt,Miss Congeniality,1963-12-16
34,nm0000079,2017-11-15,2017-11-15,,Raquel Welch,The Three Musketeers,1940-09-05
35,nm0005527,2017-11-16,2017-11-16,,Sofía Vergara,Hot Pursuit,1972-07-10
36,nm4166320,2017-11-16,2017-11-16,,Anabelle Acosta,Kill Chain,1987-02-28
37,nm3033454,2017-11-16,2017-11-16,,Ismael Cruz Cordova,In the Blood,1987-04-07
38,nm0781218,2017-11-16,2017-11-16,,Jon Seda,Chicago P.D.,1970-10-14
39,nm1935086,2017-11-27,2017-11-27,,Tessa Thompson,Creed,1983-10-03
40,nm1869101,2017-11-27,2017-11-27,,Ana de Armas,Blade Runner 2049,1988-04-30
41,nm0686470,2017-11-28,2017-11-28,,Tony Plana,Ugly Betty,1952-04-19
42,nm1589312,2017-11-28,2017-11-28,,Christian Serratos,The Walking Dead,1990-09-21
43,nm4583876,2017-11-28,2017-11-28,,Carlos Valdes,The Flash,1989-04-20
44,nm0327779,2017-11-28,2017-11-28,,Rick Gonzalez,Old School,1979-06-30
45,nm1632786,2017-11-28,2017-11-28,,Jaina Lee Ortiz,Girls Trip,1986-11-20
46,nm0050959,2017-11-28,2017-11-28,,Pedro Pascal,The Mandalorian,1975-04-02
47,nm0609944,2017-11-28,2017-11-28,,Wagner Moura,Tropa de Elite,1976-06-27
48,nm4289392,2017-11-28,2017-11-28,,Lindsey Morgan,The 100,1990-02-27
49,nm3086285,2017-11-28,2017-11-28,,Natalia Cordova-Buckley,Bates Motel,1982-11-25
50,nm0246585,2017-11-28,2017-11-28,,Guillermo Díaz,Half Baked,
51,nm4745601,2017-11-28,2017-11-28,,Dascha Polanco,Orange Is the New Black,1982-12-03
52,nm1270781,2017-11-28,2017-11-28,,Alfonso Herrera,Amar te duele,1983-08-28
53,nm1183149,2017-11-28,2017-11-28,,Edgar Ramírez,Gold,1977-03-25
54,nm0108287,2017-11-28,2017-11-28,,Jordana Brewster,The Texas Chainsaw Massacre: The Beginning,1980-04-26
55,nm1591620,2017-11-28,2017-11-28,,Juan Pablo Di Pace,Mamma Mia!,1979-07-25
56,nm2610425,2017-11-28,2017-11-28,,Chrissie Fit,Pitch Perfect 2,1984-04-03
57,nm1268158,2017-11-28,2017-11-28,,Dania Ramirez,Premium Rush,1979-11-08
58,nm0891786,2017-11-28,2017-11-28,,Alexa PenaVega,Spy Kids 2: Island of Lost Dreams,1988-08-27
