Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm9195806,2018-07-23,2018-07-23,,Zarinah Reed,Snowfall,
2,nm2245139,2018-05-24,2018-05-24,,Tanisha Grant,Righteous Kill,1973-07-28
3,nm0356021,2016-10-01,2016-10-01,,Regina Hall,Girls Trip,1970-12-12
4,nm0002101,2016-10-01,2016-10-01,,Robin Givens,Boomerang,1964-11-27
5,nm0002039,2016-10-01,2016-10-01,,Ruby Dee,American Gangster,1922-10-27
6,nm0205626,2016-10-01,2016-10-01,,Viola Davis,Fences,1965-08-11
7,nm0001807,2016-10-01,2016-10-01,,Cicely Tyson,The Help,1924-12-18
8,nm0005275,2016-10-01,2016-10-01,,Brandy Norwood,I Still Know What You Did Last Summer,1979-02-11
9,nm0005063,2016-10-01,2016-10-01,,Grace Jones,A View to a Kill,1948-05-19
10,nm0140792,2016-10-01,2016-10-01,,Diahann Carroll,Julia,1935-07-17
11,nm0000427,2016-10-01,2016-10-01,,Pam Grier,Jackie Brown,1949-05-26
12,nm0005093,2016-10-01,2016-10-01,,Regina King,Ray,1971-01-15
13,nm0000586,2016-10-01,2016-10-01,,Jada Pinkett Smith,The Matrix Revolutions,1971-09-18
14,nm0005384,2016-10-01,2016-10-01,,Diana Ross,Lady Sings the Blues,1944-03-26
15,nm1551130,2016-10-01,2016-10-01,,Keke Palmer,Alice,1993-08-26
16,nm0001390,2016-10-01,2016-10-01,,Janet Jackson,Poetic Justice,1966-05-16
17,nm0628601,2016-10-01,2016-10-01,,Thandie Newton,Crash,1972-11-06
18,nm0757855,2016-10-01,2016-10-01,,Zoe Saldana,Avatar,1978-06-19
19,nm0334159,2016-10-01,2016-10-01,,Kat Graham,How It Ends,1989-09-05
20,nm1617685,2016-10-01,2016-10-01,,Jennifer Hudson,Dreamgirls,1981-09-12
21,nm0004723,2016-10-01,2016-10-01,,Tyra Banks,Coyote Ugly,1973-12-04
22,nm0495095,2016-10-01,2016-10-01,,Sharon Leal,Dreamgirls,1972-10-17
23,nm1813221,2016-10-01,2016-10-01,,Gugu Mbatha-Raw,Belle,1983-04-21
24,nm0457755,2016-10-01,2016-10-01,,Eartha Kitt,The Emperor's New Groove,1927-01-17
25,nm0005230,2016-10-01,2016-10-01,,Michael Michele,How to Lose a Guy in 10 Days,1966-08-30
26,nm0001365,2016-10-01,2016-10-01,,Whitney Houston,The Bodyguard,1963-08-09
27,nm0005125,2016-10-01,2016-10-01,,Sanaa Lathan,AVP: Alien vs. Predator,1971-09-19
28,nm0229939,2016-10-01,2016-10-01,,Tamara Dobson,Cleopatra Jones,1947-05-14
29,nm0378245,2016-10-01,2016-10-01,,Taraji P. Henson,Hidden Figures,1970-09-11
30,nm0000943,2016-10-01,2016-10-01,,Traci Bingham,East of Hollywood,1968-01-13
31,nm0365140,2016-10-01,2016-10-01,,Naomie Harris,Moonlight,1976-09-06
32,nm0004731,2016-10-01,2016-10-01,,Garcelle Beauvais,Bad Company,1966-11-26
33,nm0878768,2016-10-01,2016-10-01,,Aisha Tyler,Death Sentence,1970-09-18
34,nm0493161,2016-10-01,2016-10-01,,Bianca Lawson,Save the Last Dance,1979-03-20
35,nm1988575,2016-10-01,2016-10-01,,Lauren London,ATL,1984-12-05
36,nm2368789,2016-10-01,2016-10-01,,Zoë Kravitz,Mad Max: Fury Road,1988-12-01
37,nm0461498,2016-10-01,2016-10-01,,Beyoncé,Dreamgirls,1981-09-04
38,nm0000407,2016-10-01,2016-10-01,,Vivica A. Fox,Independence Day,1964-07-30
39,nm1745736,2016-10-01,2016-10-01,,Paula Patton,Mission: Impossible - Ghost Protocol,1975-12-05
40,nm0001107,2016-10-01,2016-10-01,,Stacey Dash,Clueless,1967-01-20
41,nm0005517,2016-10-01,2016-10-01,,Gabrielle Union,Bring It On,1972-10-29
42,nm0000505,2016-10-01,2016-10-01,,Nia Long,Big Momma's House,1970-10-30
43,nm0395043,2016-10-01,2016-10-01,,Lena Horne,Cabin in the Sky,1917-06-30
44,nm0001853,2016-10-01,2016-10-01,,Vanessa Williams,Ugly Betty,1963-03-18
45,nm0004539,2016-10-01,2016-10-01,,Vanessa Williams,Candyman,1963-05-12
46,nm0199268,2016-10-01,2016-10-01,,Dorothy Dandridge,Carmen Jones,1922-11-09
47,nm0328709,2016-10-01,2016-10-01,,Meagan Good,Think Like a Man,1981-08-08
48,nm0000291,2016-10-01,2016-10-01,,Angela Bassett,Strange Days,1958-08-16
49,nm0913488,2016-10-01,2016-10-01,,Kerry Washington,Django Unchained,1977-01-31
50,nm0429069,2016-10-01,2016-10-01,,Rashida Jones,Parks and Recreation,1976-02-25
51,nm0000956,2016-10-01,2016-10-01,,Lisa Bonet,Angel Heart,1967-11-16
