titles,gross,max_theaters,opening_gross,opening_weekend_perc,opening_theaters,open_date,close_date
Star Wars: Episode VIII - The Last Jedi,620181382,4232,220009584,35.5,4232,2017-12-01,2017-12-01
Beauty and the Beast,504014165,4232,174750616,34.7,4232,2017-04-01,2017-04-01
Wonder Woman,412563408,4210,103251471,25,4210,2017-03-01,2017-03-01
Jumanji: Welcome to the Jungle,404515480,4210,36169328,8.9,4210,2017-07-01,2017-07-01
Guardians of the Galaxy Vol. 2,389813101,4165,146510104,37.6,4165,2017-06-01,2017-06-01
Spider-Man: Homecoming,334201140,4165,117027503,35,4165,2017-11-01,2017-11-01
It,327481748,3849,123403419,37.7,3849,2017-12-01,2017-12-01
Thor: Ragnarok,315058289,3765,122744989,39,3765,2017-05-01,2017-05-01
Despicable Me 3,264624300,4347,72434025,27.4,4347,2017-05-01,2017-05-01
Justice League,229024295,4347,93842239,41,4347,2017-09-01,2017-09-01
Logan,226277068,4348,88411916,39.1,4348,2017-07-01,2017-07-01
The Fate of the Furious,226008385,4348,98786705,43.7,4348,2017-11-01,2017-11-01
Coco,210460015,4148,50802605,24.1,4148,2017-09-01,2017-09-01
Dunkirk,188045546,4103,50513488,26.9,4103,2017-12-01,2017-12-01
Get Out,176040665,4080,33377060,19,4080,2017-11-01,2017-11-01
The Lego Batman Movie,175750384,4080,53003468,30.2,4080,2017-03-01,2017-03-01
The Boss Baby,175003033,4535,50198902,28.7,4535,2017-06-01,2017-06-01
The Greatest Showman,174340174,4529,8805843,5.1,4529,2017-12-01,2017-12-01
Pirates of the Caribbean: Dead Men Tell No Tales,172558876,4051,62983253,36.5,4051,2017-11-01,2017-11-01
Kong: Skull Island,168052812,4051,61025472,36.3,4051,2017-03-01,2017-03-01
Cars 3,152901115,4071,53688680,35.1,4071,2017-03-01,2017-03-01
War for the Planet of the Apes,146880162,4071,56262929,38.3,4071,2017-07-01,2017-07-01
Split,138291365,4329,40010975,28.9,4329,2017-04-01,2017-04-01
Wonder,132422809,4310,27547866,20.8,4310,2017-08-01,2017-08-01
Transformers: The Last Knight,130168683,3987,44680073,34.3,3987,2017-11-01,2017-11-01
Girls Trip,115171585,3987,31201920,27.1,3987,2017-04-01,2017-04-01
Fifty Shades Darker,114581250,4014,46607250,40.7,4014,2017-07-01,2017-07-01
Baby Driver,107825862,3720,20553320,19.1,3720,2017-11-01,2017-11-01
Pitch Perfect 3,104897530,3143,19928525,19,3143,2017-02-01,2017-02-01
Daddy's Home 2,104029443,2781,29651193,28.5,2781,2017-02-01,2017-02-01
Murder on the Orient Express,102826543,4088,28681472,27.9,4088,2017-02-01,2017-02-01
Annabelle: Creation,102092201,4088,35006404,34.3,4088,2017-06-01,2017-06-01
Kingsman: The Golden Circle,100229647,3829,39023010,38.9,3829,2017-03-01,2017-03-01
Blade Runner 2049,92054159,3773,32753122,35.6,3773,2017-11-01,2017-11-01
John Wick: Chapter 2,92029184,3342,30436123,33.1,3342,2017-12-01,2017-12-01
The Emoji Movie,86089513,3006,24531923,28.5,3006,2017-07-01,2017-07-01
Power Rangers,85364450,4276,40300288,47.2,4276,2017-05-01,2017-05-01
Ferdinand,84410380,4276,13401586,15.9,4276,2017-09-01,2017-09-01
The Post,81903458,3846,526011,0.6,3846,2017-03-01,2017-03-01
The Mummy,80227895,3846,31688375,39.5,3846,2017-06-01,2017-06-01
The Hitman's Bodyguard,75468583,4256,21384504,28.3,4256,2017-06-01,2017-06-01
Alien: Covenant,74262031,4256,36160621,48.7,4256,2017-11-01,2017-11-01
Captain Underpants: The First Epic Movie,73921000,4100,23851539,32.3,4100,2017-07-01,2017-07-01
A Bad Moms Christmas,72110659,4022,16759161,23.2,4022,2017-11-01,2017-11-01
A Dog's Purpose,64508620,3373,18222810,28.2,3373,2017-01-01,2017-01-01
The Shape of Water,63859435,3038,166564,0.3,3038,2017-05-01,2017-05-01
The Lego Ninjago Movie,59281555,3519,20433071,34.5,3519,2017-11-01,2017-11-01
Baywatch,58060186,3096,18503871,31.9,3096,2017-03-01,2017-03-01
The Shack,57386418,4132,16172119,28.2,4132,2017-06-01,2017-06-01
Darkest Hour,56468410,4069,175006,0.3,4069,2017-08-01,2017-08-01
Happy Death Day,55683845,2648,26039025,46.8,2648,2017-07-01,2017-07-01
"Three Billboards Outside Ebbing, Missouri",54513740,2591,322168,0.6,2591,2017-10-01,2017-10-01
Atomic Blonde,51687870,3714,18286420,35.4,3714,2017-02-01,2017-02-01
American Made,51342000,3710,16776390,32.7,3710,2017-04-01,2017-04-01
The Dark Tower,50701325,3226,19153698,37.8,3226,2017-06-01,2017-06-01
Lady Bird,48958273,3226,364437,0.7,3226,2017-10-01,2017-10-01
Boo 2! A Madea Halloween,47319572,3468,21226953,44.9,3468,2017-12-01,2017-12-01
Snatched,45852178,3447,19542248,42.6,3447,2017-03-01,2017-03-01
The Great Wall,45540830,3575,18469620,40.6,3575,2017-11-01,2017-11-01
Smurfs: The Lost Village,45020282,3575,13210449,29.3,3575,2017-02-01,2017-02-01
Going in Style,45018541,3354,11932330,26.5,3354,2017-11-01,2017-11-01
All Eyez on Me,44922302,3341,26435354,58.8,3341,2017-03-01,2017-03-01
xXx: Return of Xander Cage,44898413,3565,20130142,44.8,3565,2017-08-01,2017-08-01
